,error_code,cycle_time_s,spindle_speed_rpm,feed_rate_mm_min,axis_position_x_mm,spindle_temperature_c,vibration_mm_s,servo_motor_load_pct,power_consumption_kw,coolant_flow_l_min,coolant_pressure_bar,lubrication_level_pct,ambient_humidity_pct,ambient_dust_ug_m3,machine_status,production_count
2025-09-15 00:23:00,0,0.0,0,0.0,0.0,25.0,0.117,1.908,1.339,0.0,0.0,99.954,62.523,14.81,Idle,0
2025-09-15 00:24:00,0,0.0,0,0.0,0.0,25.0,0.177,0.629,1.482,0.0,0.0,99.952,56.426,14.19,Idle,0
2025-09-15 00:25:00,0,0.0,0,0.0,0.0,25.0,0.172,0.043,1.044,0.0,0.0,99.95,60.521,13.841,Idle,0
2025-09-15 00:26:00,0,0.0,0,0.0,0.0,25.0,0.303,1.882,1.403,0.0,0.0,99.948,59.958,14.942,Idle,0
2025-09-15 00:27:00,0,0.0,0,0.0,0.0,25.0,0.272,0.177,1.245,0.0,0.0,99.946,60.112,14.118,Idle,0
2025-09-15 00:28:00,0,0.0,0,0.0,0.0,25.0,0.161,0.844,1.202,0.0,0.0,99.944,62.319,15.515,Idle,0
2025-09-15 00:29:00,0,0.0,0,0.0,0.0,25.0,0.102,1.709,1.495,0.0,0.0,99.942,58.006,14.755,Idle,0
2025-09-15 00:30:00,0,0.0,0,0.0,0.0,25.0,0.463,1.714,1.501,0.0,0.0,99.94,63.596,14.233,Idle,0
2025-09-15 00:31:00,0,0.0,0,0.0,0.0,25.0,0.253,1.427,1.719,0.0,0.0,99.938,62.423,15.194,Idle,0
2025-09-15 00:32:00,0,0.0,0,0.0,0.0,25.0,0.151,1.982,1.684,0.0,0.0,99.936,59.968,15.632,Idle,0
2025-09-15 00:33:00,0,0.0,0,0.0,0.0,25.0,0.374,0.177,1.796,0.0,0.0,99.934,60.648,14.911,Idle,0
2025-09-15 00:34:00,0,0.0,0,0.0,0.0,25.0,0.464,0.447,1.475,0.0,0.0,99.932,57.682,15.906,Idle,0
2025-09-15 00:35:00,0,0.0,0,0.0,0.0,25.0,0.311,1.715,1.742,0.0,0.0,99.93,62.956,14.035,Idle,0
2025-09-15 00:36:00,0,0.0,0,0.0,0.0,25.0,0.264,0.594,1.009,0.0,0.0,99.928,64.793,13.539,Idle,0
2025-09-15 00:37:00,0,0.0,0,0.0,0.0,25.0,0.253,1.71,1.882,0.0,0.0,99.926,60.621,14.307,Idle,0
2025-09-15 00:38:00,0,0.0,0,0.0,0.0,25.0,0.367,1.932,1.532,0.0,0.0,99.924,62.283,15.537,Idle,0
2025-09-15 00:39:00,0,0.0,0,0.0,0.0,25.0,0.46,1.611,1.241,0.0,0.0,99.922,60.522,14.224,Idle,0
2025-09-15 00:40:00,0,0.0,0,0.0,0.0,25.0,0.179,1.132,1.474,0.0,0.0,99.92,59.696,15.785,Idle,0
2025-09-15 00:41:00,0,0.0,0,0.0,0.0,25.0,0.301,0.281,1.019,0.0,0.0,99.918,57.704,15.351,Idle,0
2025-09-15 00:42:00,0,0.0,0,0.0,0.0,25.0,0.351,0.063,1.882,0.0,0.0,99.916,55.591,14.38,Idle,0
2025-09-15 00:43:00,0,0.0,0,0.0,0.0,25.0,0.252,1.51,1.726,0.0,0.0,99.914,62.094,14.19,Idle,0
2025-09-15 00:44:00,0,0.0,0,0.0,0.0,25.0,0.468,0.633,1.989,0.0,0.0,99.912,64.005,16.489,Idle,0
2025-09-15 00:45:00,0,0.0,0,0.0,0.0,25.0,0.241,0.756,1.961,0.0,0.0,99.91,60.149,13.624,Idle,0
2025-09-15 00:46:00,0,0.0,0,0.0,0.0,25.0,0.218,1.041,1.654,0.0,0.0,99.908,60.477,15.974,Idle,0
2025-09-15 00:47:00,0,0.0,0,0.0,0.0,25.0,0.325,1.588,1.639,0.0,0.0,99.906,56.907,15.735,Idle,0
2025-09-15 00:48:00,0,0.0,0,0.0,0.0,25.0,0.142,1.649,1.188,0.0,0.0,99.904,66.196,17.148,Idle,0
2025-09-15 00:49:00,0,0.0,0,0.0,0.0,25.0,0.184,0.928,1.97,0.0,0.0,99.902,62.051,15.196,Idle,0
2025-09-15 00:50:00,0,0.0,0,0.0,0.0,25.0,0.483,1.361,1.084,0.0,0.0,99.9,59.239,15.093,Idle,0
2025-09-15 00:51:00,0,0.0,0,0.0,0.0,25.0,0.272,1.043,1.258,0.0,0.0,99.898,58.259,16.821,Idle,0
2025-09-15 00:52:00,0,0.0,0,0.0,0.0,25.0,0.199,1.997,1.547,0.0,0.0,99.896,57.896,15.603,Idle,0
2025-09-15 00:53:00,0,0.0,0,0.0,0.0,25.0,0.288,0.321,1.465,0.0,0.0,99.894,63.414,15.16,Idle,0
2025-09-15 00:54:00,0,0.0,0,0.0,0.0,25.0,0.253,1.267,1.959,0.0,0.0,99.892,59.181,15.667,Idle,0
2025-09-15 00:55:00,0,0.0,0,0.0,0.0,25.0,0.4,1.528,1.676,0.0,0.0,99.89,58.357,14.832,Idle,0
2025-09-15 00:56:00,0,0.0,0,0.0,0.0,25.0,0.114,0.592,1.133,0.0,0.0,99.888,61.691,14.511,Idle,0
2025-09-15 00:57:00,0,0.0,0,0.0,0.0,25.0,0.372,0.051,1.536,0.0,0.0,99.886,60.702,15.979,Idle,0
2025-09-15 00:58:00,0,0.0,0,0.0,0.0,25.0,0.344,0.797,1.933,0.0,0.0,99.884,56.975,15.154,Idle,0
2025-09-15 00:59:00,0,0.0,0,0.0,0.0,25.0,0.283,1.134,1.376,0.0,0.0,99.882,59.112,14.986,Idle,0
2025-09-15 01:00:00,0,0.0,0,0.0,0.0,25.0,0.418,1.436,1.54,0.0,0.0,99.88,65.359,15.338,Idle,0
2025-09-15 01:01:00,0,0.0,0,0.0,0.0,25.0,0.353,0.073,1.672,0.0,0.0,99.878,61.826,14.84,Idle,0
2025-09-15 01:02:00,0,0.0,0,0.0,0.0,25.0,0.499,0.806,1.365,0.0,0.0,99.876,63.452,15.296,Idle,0
2025-09-15 01:03:00,0,0.0,0,0.0,0.0,25.0,0.225,0.785,1.474,0.0,0.0,99.874,64.569,15.712,Idle,0
2025-09-15 01:04:00,0,0.0,0,0.0,0.0,25.0,0.398,1.924,1.822,0.0,0.0,99.872,60.217,16.193,Idle,0
2025-09-15 01:05:00,0,0.0,0,0.0,0.0,25.0,0.384,1.374,1.873,0.0,0.0,99.87,62.334,15.873,Idle,0
2025-09-15 01:06:00,0,0.0,0,0.0,0.0,25.0,0.224,1.633,1.614,0.0,0.0,99.868,60.702,16.684,Idle,0
2025-09-15 01:07:00,0,0.0,0,0.0,0.0,25.0,0.328,1.31,1.312,0.0,0.0,99.866,64.84,15.998,Idle,0
2025-09-15 01:08:00,0,0.0,0,0.0,0.0,25.0,0.151,1.47,1.896,0.0,0.0,99.864,62.899,15.796,Idle,0
2025-09-15 01:09:00,0,0.0,0,0.0,0.0,25.0,0.385,1.142,1.505,0.0,0.0,99.862,65.131,14.888,Idle,0
2025-09-15 01:10:00,0,0.0,0,0.0,0.0,25.0,0.205,0.257,1.197,0.0,0.0,99.86,66.391,15.205,Idle,0
2025-09-15 01:11:00,0,0.0,0,0.0,0.0,25.0,0.154,0.529,1.563,0.0,0.0,99.858,65.232,15.581,Idle,0
2025-09-15 01:12:00,0,0.0,0,0.0,0.0,25.0,0.335,0.049,1.368,0.0,0.0,99.856,61.649,13.835,Idle,0
2025-09-15 01:13:00,0,0.0,0,0.0,0.0,25.0,0.255,0.809,1.215,0.0,0.0,99.854,64.712,15.391,Idle,0
2025-09-15 01:14:00,0,0.0,0,0.0,0.0,25.0,0.103,0.407,1.493,0.0,0.0,99.852,67.48,16.222,Idle,0
2025-09-15 01:15:00,0,0.0,0,0.0,0.0,25.0,0.343,0.855,1.842,0.0,0.0,99.85,60.383,15.471,Idle,0
2025-09-15 01:16:00,0,0.0,0,0.0,0.0,25.0,0.144,0.999,1.786,0.0,0.0,99.848,64.068,15.978,Idle,0
2025-09-15 01:17:00,0,0.0,0,0.0,0.0,25.0,0.142,1.887,1.385,0.0,0.0,99.846,62.608,17.432,Idle,0
2025-09-15 01:18:00,0,0.0,0,0.0,0.0,25.0,0.493,0.844,1.104,0.0,0.0,99.844,62.69,16.448,Idle,0
2025-09-15 01:19:00,0,0.0,0,0.0,0.0,25.0,0.472,1.577,1.93,0.0,0.0,99.842,64.248,15.403,Idle,0
2025-09-15 01:20:00,0,0.0,0,0.0,0.0,25.0,0.184,1.204,1.076,0.0,0.0,99.84,62.841,16.332,Idle,0
2025-09-15 01:21:00,0,0.0,0,0.0,0.0,25.0,0.132,0.174,1.233,0.0,0.0,99.838,64.363,16.177,Idle,0
2025-09-15 01:22:00,0,0.0,0,0.0,0.0,25.0,0.456,0.596,1.948,0.0,0.0,99.836,63.077,14.427,Idle,0
2025-09-15 01:23:00,0,0.0,0,0.0,0.0,25.0,0.135,0.207,1.699,0.0,0.0,99.834,66.666,15.33,Idle,0
2025-09-15 01:24:00,0,0.0,0,0.0,0.0,25.0,0.375,0.934,1.718,0.0,0.0,99.832,65.285,14.499,Idle,0
2025-09-15 01:25:00,0,0.0,0,0.0,0.0,25.0,0.406,1.938,1.957,0.0,0.0,99.83,67.232,15.503,Idle,0
2025-09-15 01:26:00,0,0.0,0,0.0,0.0,25.0,0.233,0.87,1.57,0.0,0.0,99.828,62.266,14.634,Idle,0
2025-09-15 01:27:00,0,0.0,0,0.0,0.0,25.0,0.212,1.692,1.572,0.0,0.0,99.826,60.159,16.705,Idle,0
2025-09-15 01:28:00,0,0.0,0,0.0,0.0,25.0,0.253,1.246,1.549,0.0,0.0,99.824,65.108,15.611,Idle,0
2025-09-15 01:29:00,0,0.0,0,0.0,0.0,25.0,0.338,1.874,1.996,0.0,0.0,99.822,60.864,14.967,Idle,0
2025-09-15 01:30:00,0,0.0,0,0.0,0.0,25.0,0.182,1.626,1.227,0.0,0.0,99.82,61.641,13.987,Idle,0
2025-09-15 01:31:00,0,0.0,0,0.0,0.0,25.0,0.162,1.811,1.265,0.0,0.0,99.818,64.068,15.037,Idle,0
2025-09-15 01:32:00,0,0.0,0,0.0,0.0,25.0,0.342,1.464,1.606,0.0,0.0,99.816,67.298,15.093,Idle,0
2025-09-15 01:33:00,0,0.0,0,0.0,0.0,25.0,0.104,0.764,1.71,0.0,0.0,99.814,65.444,15.631,Idle,0
2025-09-15 01:34:00,0,0.0,0,0.0,0.0,25.0,0.153,1.48,1.802,0.0,0.0,99.812,60.936,14.281,Idle,0
2025-09-15 01:35:00,0,0.0,0,0.0,0.0,25.0,0.36,1.476,1.627,0.0,0.0,99.81,62.471,16.359,Idle,0
2025-09-15 01:36:00,0,0.0,0,0.0,0.0,25.0,0.393,1.802,1.569,0.0,0.0,99.808,66.528,15.146,Idle,0
2025-09-15 01:37:00,0,0.0,0,0.0,0.0,25.0,0.105,1.932,1.568,0.0,0.0,99.806,63.487,16.028,Idle,0
2025-09-15 01:38:00,0,0.0,0,0.0,0.0,25.0,0.327,1.82,1.06,0.0,0.0,99.804,62.885,15.97,Idle,0
2025-09-15 01:39:00,0,0.0,0,0.0,0.0,25.0,0.238,1.114,1.865,0.0,0.0,99.802,69.159,14.904,Idle,0
2025-09-15 01:40:00,0,0.0,0,0.0,0.0,25.0,0.466,1.932,1.172,0.0,0.0,99.8,64.128,15.338,Idle,0
2025-09-15 01:41:00,0,0.0,0,0.0,0.0,25.0,0.16,0.78,1.521,0.0,0.0,99.798,62.47,14.574,Idle,0
2025-09-15 01:42:00,0,0.0,0,0.0,0.0,25.0,0.241,0.478,1.88,0.0,0.0,99.796,63.421,15.061,Idle,0
2025-09-15 01:43:00,0,0.0,0,0.0,0.0,25.0,0.349,0.497,1.408,0.0,0.0,99.794,62.846,16.19,Idle,0
2025-09-15 01:44:00,0,0.0,0,0.0,0.0,25.0,0.397,0.75,1.444,0.0,0.0,99.792,64.444,15.199,Idle,0
2025-09-15 01:45:00,0,0.0,0,0.0,0.0,25.0,0.152,0.03,1.535,0.0,0.0,99.79,62.577,14.129,Idle,0
2025-09-15 01:46:00,0,0.0,0,0.0,0.0,25.0,0.428,0.63,1.146,0.0,0.0,99.788,63.8,14.545,Idle,0
2025-09-15 01:47:00,0,0.0,0,0.0,0.0,25.0,0.112,0.978,1.244,0.0,0.0,99.786,64.54,14.695,Idle,0
2025-09-15 01:48:00,0,0.0,0,0.0,0.0,25.0,0.483,1.852,1.723,0.0,0.0,99.784,66.561,17.191,Idle,0
2025-09-15 01:49:00,0,0.0,0,0.0,0.0,25.0,0.202,1.306,1.994,0.0,0.0,99.782,61.855,15.866,Idle,0
2025-09-15 01:50:00,0,0.0,0,0.0,0.0,25.0,0.377,1.166,1.024,0.0,0.0,99.78,61.886,12.47,Idle,0
2025-09-15 01:51:00,0,0.0,0,0.0,0.0,25.0,0.3,1.134,1.763,0.0,0.0,99.778,63.962,15.439,Idle,0
2025-09-15 01:52:00,0,0.0,0,0.0,0.0,25.0,0.123,1.25,1.197,0.0,0.0,99.776,63.682,16.293,Idle,0
2025-09-15 01:53:00,0,0.0,0,0.0,0.0,25.0,0.25,0.378,1.169,0.0,0.0,99.774,61.758,15.507,Idle,0
2025-09-15 01:54:00,0,0.0,0,0.0,0.0,25.0,0.279,0.629,1.294,0.0,0.0,99.772,62.916,14.276,Idle,0
2025-09-15 01:55:00,0,0.0,0,0.0,0.0,25.0,0.178,1.522,1.751,0.0,0.0,99.77,65.829,17.406,Idle,0
2025-09-15 01:56:00,0,0.0,0,0.0,0.0,25.0,0.226,1.104,1.779,0.0,0.0,99.768,60.839,15.808,Idle,0
2025-09-15 01:57:00,0,0.0,0,0.0,0.0,25.0,0.457,0.224,1.697,0.0,0.0,99.766,61.527,14.599,Idle,0
2025-09-15 01:58:00,0,0.0,0,0.0,0.0,25.0,0.342,0.13,1.763,0.0,0.0,99.764,64.156,14.95,Idle,0
2025-09-15 01:59:00,0,0.0,0,0.0,0.0,25.0,0.3,1.735,1.677,0.0,0.0,99.762,64.427,15.597,Idle,0
2025-09-15 02:00:00,0,0.0,0,0.0,0.0,25.0,0.304,1.429,1.933,0.0,0.0,99.76,68.222,15.063,Idle,0
2025-09-15 02:01:00,0,0.0,0,0.0,0.0,25.0,0.191,0.876,1.814,0.0,0.0,99.758,66.91,14.293,Idle,0
2025-09-15 02:02:00,0,0.0,0,0.0,0.0,25.0,0.487,0.083,1.52,0.0,0.0,99.756,73.188,15.207,Idle,0
2025-09-15 02:03:00,0,0.0,0,0.0,0.0,25.0,0.321,0.558,1.002,0.0,0.0,99.754,70.064,16.331,Idle,0
2025-09-15 02:04:00,0,0.0,0,0.0,0.0,25.0,0.456,0.241,1.549,0.0,0.0,99.752,66.714,14.019,Idle,0
2025-09-15 02:05:00,0,0.0,0,0.0,0.0,25.0,0.195,1.364,1.563,0.0,0.0,99.75,67.994,15.824,Idle,0
2025-09-15 02:06:00,0,0.0,0,0.0,0.0,25.0,0.152,1.174,1.092,0.0,0.0,99.748,67.852,12.969,Idle,0
2025-09-15 02:07:00,0,0.0,0,0.0,0.0,25.0,0.286,0.353,1.163,0.0,0.0,99.746,71.712,14.147,Idle,0
2025-09-15 02:08:00,0,0.0,0,0.0,0.0,25.0,0.215,0.318,1.401,0.0,0.0,99.744,65.796,14.892,Idle,0
2025-09-15 02:09:00,0,0.0,0,0.0,0.0,25.0,0.149,1.634,1.347,0.0,0.0,99.742,68.519,14.909,Idle,0
2025-09-15 02:10:00,0,0.0,0,0.0,0.0,25.0,0.478,0.248,1.686,0.0,0.0,99.74,64.552,15.72,Idle,0
2025-09-15 02:11:00,0,0.0,0,0.0,0.0,25.0,0.194,1.04,1.572,0.0,0.0,99.738,68.453,16.779,Idle,0
2025-09-15 02:12:00,0,0.0,0,0.0,0.0,25.0,0.347,0.41,1.431,0.0,0.0,99.736,64.238,15.175,Idle,0
2025-09-15 02:13:00,0,0.0,0,0.0,0.0,25.0,0.143,1.554,1.827,0.0,0.0,99.734,68.489,14.15,Idle,0
2025-09-15 02:14:00,0,0.0,0,0.0,0.0,25.0,0.443,1.403,1.704,0.0,0.0,99.732,67.507,14.118,Idle,0
2025-09-15 02:15:00,0,0.0,0,0.0,0.0,25.0,0.495,1.502,1.704,0.0,0.0,99.73,66.19,15.165,Idle,0
2025-09-15 02:16:00,0,0.0,0,0.0,0.0,25.0,0.395,1.791,1.34,0.0,0.0,99.728,70.913,15.002,Idle,0
2025-09-15 02:17:00,0,0.0,0,0.0,0.0,25.0,0.272,0.167,1.165,0.0,0.0,99.726,66.983,15.35,Idle,0
2025-09-15 02:18:00,0,0.0,0,0.0,0.0,25.0,0.16,0.19,1.698,0.0,0.0,99.724,68.502,15.301,Idle,0
2025-09-15 02:19:00,0,0.0,0,0.0,0.0,25.0,0.133,0.976,1.626,0.0,0.0,99.722,68.366,14.685,Idle,0
2025-09-15 02:20:00,0,0.0,0,0.0,0.0,25.0,0.109,0.829,1.925,0.0,0.0,99.72,68.712,15.283,Idle,0
2025-09-15 02:21:00,0,0.0,0,0.0,0.0,25.0,0.225,1.903,1.716,0.0,0.0,99.718,60.374,14.261,Idle,0
2025-09-15 02:22:00,0,0.0,0,0.0,0.0,25.0,0.477,1.403,1.792,0.0,0.0,99.716,67.459,14.262,Idle,0
2025-09-15 02:23:00,0,0.0,0,0.0,0.0,25.0,0.258,0.48,1.836,0.0,0.0,99.714,70.653,14.979,Idle,0
2025-09-15 02:24:00,0,0.0,0,0.0,0.0,25.0,0.15,1.067,1.549,0.0,0.0,99.712,67.016,14.676,Idle,0
2025-09-15 02:25:00,0,0.0,0,0.0,0.0,25.0,0.149,0.778,1.638,0.0,0.0,99.71,67.214,15.754,Idle,0
2025-09-15 02:26:00,0,0.0,0,0.0,0.0,25.0,0.333,0.711,1.37,0.0,0.0,99.708,64.261,15.973,Idle,0
2025-09-15 02:27:00,0,0.0,0,0.0,0.0,25.0,0.203,1.144,1.037,0.0,0.0,99.706,65.978,16.055,Idle,0
2025-09-15 02:28:00,0,0.0,0,0.0,0.0,25.0,0.415,1.201,1.643,0.0,0.0,99.704,69.186,16.18,Idle,0
2025-09-15 02:29:00,0,0.0,0,0.0,0.0,25.0,0.427,0.048,1.214,0.0,0.0,99.702,67.205,14.652,Idle,0
2025-09-15 02:30:00,0,0.0,0,0.0,0.0,25.0,0.418,0.886,1.602,0.0,0.0,99.7,61.45,14.836,Idle,0
2025-09-15 02:31:00,0,0.0,0,0.0,0.0,25.0,0.188,0.532,1.076,0.0,0.0,99.698,68.36,13.59,Idle,0
2025-09-15 02:32:00,0,0.0,0,0.0,0.0,25.0,0.331,1.81,1.919,0.0,0.0,99.696,68.235,14.707,Idle,0
2025-09-15 02:33:00,0,0.0,0,0.0,0.0,25.0,0.286,0.887,1.521,0.0,0.0,99.694,65.761,16.266,Idle,0
2025-09-15 02:34:00,0,0.0,0,0.0,0.0,25.0,0.352,0.976,1.314,0.0,0.0,99.692,68.737,15.159,Idle,0
2025-09-15 02:35:00,0,0.0,0,0.0,0.0,25.0,0.175,0.649,1.521,0.0,0.0,99.69,69.504,15.002,Idle,0
2025-09-15 02:36:00,0,0.0,0,0.0,0.0,25.0,0.19,0.285,1.298,0.0,0.0,99.688,66.515,14.269,Idle,0
2025-09-15 02:37:00,0,0.0,0,0.0,0.0,25.0,0.137,1.815,1.287,0.0,0.0,99.686,67.398,14.712,Idle,0
2025-09-15 02:38:00,0,0.0,0,0.0,0.0,25.0,0.331,1.797,1.309,0.0,0.0,99.684,66.285,14.362,Idle,0
2025-09-15 02:39:00,0,0.0,0,0.0,0.0,25.0,0.305,1.464,1.632,0.0,0.0,99.682,67.415,15.167,Idle,0
2025-09-15 02:40:00,0,0.0,0,0.0,0.0,25.0,0.339,1.65,1.627,0.0,0.0,99.68,73.04,15.253,Idle,0
2025-09-15 02:41:00,0,0.0,0,0.0,0.0,25.0,0.487,0.128,1.078,0.0,0.0,99.678,69.827,15.836,Idle,0
2025-09-15 02:42:00,0,0.0,0,0.0,0.0,25.0,0.349,0.875,1.375,0.0,0.0,99.676,65.426,15.206,Idle,0
2025-09-15 02:43:00,0,0.0,0,0.0,0.0,25.0,0.353,0.464,1.158,0.0,0.0,99.674,67.677,15.768,Idle,0
2025-09-15 02:44:00,0,0.0,0,0.0,0.0,25.0,0.12,0.675,1.433,0.0,0.0,99.672,70.843,15.958,Idle,0
2025-09-15 02:45:00,0,0.0,0,0.0,0.0,25.0,0.46,1.515,1.433,0.0,0.0,99.67,70.673,15.423,Idle,0
2025-09-15 02:46:00,0,0.0,0,0.0,0.0,25.0,0.176,0.107,1.831,0.0,0.0,99.668,68.484,16.249,Idle,0
2025-09-15 02:47:00,0,0.0,0,0.0,0.0,25.0,0.488,1.878,1.303,0.0,0.0,99.666,68.325,15.849,Idle,0
2025-09-15 02:48:00,0,0.0,0,0.0,0.0,25.0,0.364,0.288,1.841,0.0,0.0,99.664,67.735,15.82,Idle,0
2025-09-15 02:49:00,0,0.0,0,0.0,0.0,25.0,0.165,1.809,1.141,0.0,0.0,99.662,66.996,15.558,Idle,0
2025-09-15 02:50:00,0,0.0,0,0.0,0.0,25.0,0.344,1.58,1.376,0.0,0.0,99.66,65.647,13.362,Idle,0
2025-09-15 02:51:00,0,0.0,0,0.0,0.0,25.0,0.308,0.364,1.243,0.0,0.0,99.658,65.134,16.366,Idle,0
2025-09-15 02:52:00,0,0.0,0,0.0,0.0,25.0,0.358,1.331,1.144,0.0,0.0,99.656,68.832,15.371,Idle,0
2025-09-15 02:53:00,0,0.0,0,0.0,0.0,25.0,0.292,1.327,1.783,0.0,0.0,99.654,68.38,14.951,Idle,0
2025-09-15 02:54:00,0,0.0,0,0.0,0.0,25.0,0.265,1.742,1.635,0.0,0.0,99.652,71.112,14.312,Idle,0
2025-09-15 02:55:00,0,0.0,0,0.0,0.0,25.0,0.194,0.485,1.967,0.0,0.0,99.65,68.22,14.991,Idle,0
2025-09-15 02:56:00,0,0.0,0,0.0,0.0,25.0,0.141,0.229,1.802,0.0,0.0,99.648,65.736,16.029,Idle,0
2025-09-15 02:57:00,0,0.0,0,0.0,0.0,25.0,0.232,0.096,1.304,0.0,0.0,99.646,61.579,17.268,Idle,0
2025-09-15 02:58:00,0,0.0,0,0.0,0.0,25.0,0.438,1.434,1.736,0.0,0.0,99.644,68.398,14.879,Idle,0
2025-09-15 02:59:00,0,0.0,0,0.0,0.0,25.0,0.45,1.451,1.556,0.0,0.0,99.642,68.271,13.733,Idle,0
2025-09-15 03:00:00,0,0.0,0,0.0,0.0,25.0,0.371,1.34,1.668,0.0,0.0,99.64,66.755,15.586,Idle,0
2025-09-15 03:01:00,0,0.0,0,0.0,0.0,25.0,0.411,0.878,1.994,0.0,0.0,99.638,69.433,15.851,Idle,0
2025-09-15 03:02:00,0,0.0,0,0.0,0.0,25.0,0.413,0.688,1.365,0.0,0.0,99.636,66.603,14.105,Idle,0
2025-09-15 03:03:00,0,0.0,0,0.0,0.0,25.0,0.285,0.594,1.304,0.0,0.0,99.634,71.776,14.171,Idle,0
2025-09-15 03:04:00,0,0.0,0,0.0,0.0,25.0,0.212,0.855,1.748,0.0,0.0,99.632,72.36,14.188,Idle,0
2025-09-15 03:05:00,0,0.0,0,0.0,0.0,25.0,0.451,0.541,1.365,0.0,0.0,99.63,71.141,14.668,Idle,0
2025-09-15 03:06:00,0,0.0,0,0.0,0.0,25.0,0.168,0.648,1.399,0.0,0.0,99.628,72.947,15.149,Idle,0
2025-09-15 03:07:00,0,0.0,0,0.0,0.0,25.0,0.457,0.403,1.277,0.0,0.0,99.626,70.197,16.372,Idle,0
2025-09-15 03:08:00,0,0.0,0,0.0,0.0,25.0,0.493,0.683,1.051,0.0,0.0,99.624,71.546,15.063,Idle,0
2025-09-15 03:09:00,0,0.0,0,0.0,0.0,25.0,0.159,1.934,1.003,0.0,0.0,99.622,71.823,14.579,Idle,0
2025-09-15 03:10:00,0,0.0,0,0.0,0.0,25.0,0.271,1.968,1.464,0.0,0.0,99.62,68.21,16.446,Idle,0
2025-09-15 03:11:00,0,0.0,0,0.0,0.0,25.0,0.19,0.817,1.236,0.0,0.0,99.618,70.537,15.7,Idle,0
